"index","ipa","word"
1,"ju","you"
2,"aɪ","I"
3,"ðə","the"
4,"tɪ","to"
5,"ɛs","s"
6,"ə","a"
7,"ɪt","it"
8,"ti","t"
9,"ðət","that"
10,"ənd","and"
11,"əv","of"
12,"wət","what"
13,"ɪn","in"
14,"mi","me"
15,"ɪz","is"
16,"wi","we"
17,"ðɪs","this"
18,"hi","he"
19,"ɔn","on"
20,"fər","for"
21,"maɪ","my"
22,"ɛm","m"
23,"jʊr","your"
24,"dɑn","don"
25,"hæv","have"
26,"du","do"
27,"ri","re"
28,"noʊ","no"
29,"bi","be"
30,"noʊ","know"
31,"wɑz","was"
32,"nɑt","not"
33,"kən","can"
34,"ər","are"
35,"ɔl","all"
36,"wɪθ","with"
37,"ʤɪst","just"
38,"gɪt","get"
39,"hir","here"
40,"bət","but"
41,"lɛktəl","ll"
42,"ðɛr","there"
43,"soʊ","so"
44,"ðe","they"
45,"raɪt","right"
46,"laɪk","like"
47,"aʊt","out"
48,"goʊ","go"
49,"ʃi","she"
50,"əp","up"
51,"əbaʊt","about"
52,"ɪf","if"
53,"ɪm","him"
54,"gɑt","got"
55,"oʊ","oh"
56,"æt","at"
57,"naʊ","now"
58,"kəm","come"
59,"wən","one"
60,"haʊ","how"
61,"wɛl","well"
62,"jæ","yeah"
63,"hər","her"
64,"wɔnt","want"
65,"θɪŋk","think"
66,"gʊd","good"
67,"si","see"
68,"lɛt","let"
69,"dɪd","did"
70,"waɪ","why"
71,"hu","who"
72,"ɛz","as"
73,"hɪz","his"
74,"wɪl","will"
75,"goʊɪŋ","going"
76,"frəm","from"
77,"wɪn","when"
78,"bæk","back"
79,"oʊke","okay"
80,"jɛs","yes"
81,"gɑnə","gonna"
82,"di","d"
83,"taɪm","time"
84,"lʊk","look"
85,"tek","take"
86,"ən","an"
87,"mæn","man"
88,"wɛr","where"
89,"ðɛm","them"
90,"wʊd","would"
91,"bɪn","been"
92,"səm","some"
93,"he","hey"
94,"tɛl","tell"
95,"ər","or"
96,"juɛs","us"
97,"hæd","had"
98,"wər","were"
99,"se","say"
100,"kʊd","could"
101,"dɪdn","didn"
102,"rɪli","really"
103,"səmθɪŋ","something"
104,"daʊn","down"
105,"ðɛn","then"
106,"lɪtəl","little"
107,"we","way"
108,"ɑr","our"
109,"mek","make"
110,"tu","too"
111,"nɛvər","never"
112,"baɪ","by"
113,"oʊvər","over"
114,"mɔr","more"
115,"nid","need"
116,"min","mean"
117,"vɛri","very"
118,"ɔf","off"
119,"mɪstər","mr"
120,"sɑri","sorry"
121,"gɪv","give"
122,"həz","has"
123,"θæŋk","thank"
124,"ləv","love"
125,"sɛd","said"
126,"æm","am"
127,"pipəl","people"
128,"pliz","please"
129,"ʃʊr","sure"
130,"ɛni","any"
131,"θɪŋ","thing"
132,"oʊnli","only"
133,"bɪkəz","because"
134,"tu","two"
135,"ʃʊd","should"
136,"duɪŋ","doing"
137,"məʧ","much"
138,"sər","sir"
139,"mebi","maybe"
140,"hɛlp","help"
141,"ɛniθɪŋ","anything"
142,"ðiz","these"
143,"gɑd","god"
144,"ivɪn","even"
145,"naɪt","night"
146,"kɔl","call"
147,"tɔk","talk"
